90,1,0.110155
90,1,0.109749
90,1,0.109885
90,2,0.056617
90,2,0.056599
90,2,0.056612
90,4,0.045880
90,4,0.045966
90,4,0.045863
90,8,0.031120
90,8,0.031132
90,8,0.031170
90,16,0.018182
90,16,0.018227
90,16,0.018220
90,24,0.013238
90,24,0.013257
90,24,0.013180
90,32,0.014816
90,32,0.017296
90,32,0.014814
1100,1,16.306608
1100,1,16.316588
1100,1,16.284397
1100,2,8.175213
1100,2,8.178992
1100,2,8.170321
1100,4,6.621239
1100,4,6.678632
1100,4,6.639713
1100,8,4.557337
1100,8,4.554004
1100,8,4.586490
1100,16,2.447131
1100,16,2.448894
1100,16,2.447200
1100,24,1.731222
1100,24,1.718731
1100,24,1.718424
1100,32,1.312658
1100,32,1.313263
1100,32,1.320209
